#         t          x          y          z         vx         vy         vz
      0.000    -98.530   -120.010   -127.760    -29.130    173.810     93.530
      0.100   -101.063   -102.206   -117.938    -21.538    182.262    102.911
      0.200   -102.739    -83.544   -107.116    -11.970    190.983    113.522
      0.300   -103.325    -64.008    -95.162      0.246    199.730    125.574
      0.400   -102.511    -43.622    -81.921     16.042    207.990    139.244
      0.500    -99.876    -22.487    -67.231     36.653    214.723    154.548
      0.600    -94.869     -0.854    -50.954     63.490    217.939    171.001
      0.700    -86.824     20.754    -33.057     97.401    214.225    186.927
      0.800    -75.122     41.424    -13.779    136.640    199.159    198.627
      0.900    -59.568     59.918      6.212    174.439    170.719    201.207
      1.000    -40.768     75.164     25.879    201.561    134.206    192.121
      1.100    -19.939     86.789     44.297    215.020     98.300    176.255
      1.200      1.715     95.101     61.033    218.062     67.935    158.459
      1.300     23.367    100.691     76.030    214.981     43.879    141.475
      1.400     44.555    104.144     89.417    208.778     25.173    126.266
      1.500     65.052    105.932    101.378    201.168     10.588    112.948
      1.600     84.764    106.416    112.092    193.059     -0.905    101.340
      1.700    103.662    105.867    121.719    184.913    -10.083     91.191
      1.800    121.756    104.487    130.391    176.957    -17.507     82.261
      1.900    139.069    102.433    138.221    169.296    -23.585     74.344
      2.000    155.632     99.823    145.302    161.970    -28.613     67.274
      2.100    171.480     96.752    151.712    154.985    -32.810     60.913
      2.200    186.645     93.294    157.515    148.331    -36.342     55.152
      2.300    201.161     89.510    162.768    141.989    -39.331     49.901
      2.400    215.058     85.450    167.517    135.938    -41.875     45.087
      2.500    228.362     81.154    171.804    130.155    -44.047     40.651
      2.600    241.101     76.656    175.664    124.619    -45.908     36.544
      2.700    253.297     71.986    179.127    119.309    -47.505     32.725
      2.800    264.973     67.167    182.221    114.205    -48.875     29.159
      2.900    276.148     62.220    184.970    109.291    -50.050     25.817
      3.000    286.840     57.165    187.395    104.550    -51.056     22.675
      3.100    297.066     52.017    189.514     99.968    -51.912     19.711
      3.200    306.841     46.789    191.345     95.532    -52.638     16.908
      3.300    316.179     41.495    192.903     91.230    -53.248     14.249
      3.400    325.093     36.145    194.201     87.050    -53.754     11.721
      3.500    333.595     30.749    195.253     82.984    -54.167      9.312
      3.600    341.695     25.316    196.069     79.021    -54.496      7.011
      3.700    349.404     19.853    196.660     75.154    -54.748      4.810
      3.800    356.730     14.369    197.036     71.375    -54.932      2.699
      3.900    363.683      8.870    197.204     67.678    -55.051      0.672
      4.000    370.270      3.362    197.174     64.055    -55.111     -1.279
      4.100    376.497     -2.149    196.952     60.501    -55.117     -3.158
      4.200    382.373     -7.659    196.546     57.010    -55.072     -4.971
      4.300    387.902    -13.161    195.961     53.578    -54.979     -6.724
      4.400    393.091    -18.652    195.204     50.199    -54.842     -8.419
